#1	
double	T_HTF_inlet(2502,2)
7135332.826	68.10
7135342.826	68.07
7135352.826	68.05
7135362.827	68.03
7135372.827	68.00
7135382.828	67.98
7135392.878	67.97
7135402.829	67.95
7135412.879	67.93
7135422.879	67.91
7135432.830	67.89
7135442.830	67.86
7135452.881	67.85
7135462.831	67.86
7135472.832	67.86
7135482.832	67.87
7135492.832	67.89
7135502.833	67.91
7135512.833	67.94
7135522.884	67.98
7135532.884	67.98
7135542.885	68.00
7135552.835	68.02
7135562.885	68.02
7135572.836	68.02
7135582.836	68.04
7135592.837	68.02
7135602.837	68.01
7135612.888	68.00
7135622.838	67.99
7135632.838	67.98
7135642.839	67.96
7135652.839	67.95
7135662.840	67.94
7135672.890	67.92
7135682.841	67.90
7135692.891	67.89
7135702.891	67.87
7135712.892	67.85
7135722.842	67.84
7135732.843	67.82
7135742.893	67.80
7135752.844	67.78
7135762.844	67.77
7135772.844	67.75
7135782.895	67.76
7135792.895	67.75
7135802.896	67.74
7135812.896	67.74
7135822.896	67.73
7135832.897	67.72
7135842.897	67.71
7135852.848	67.69
7135862.898	67.69
7135872.899	67.67
7135882.849	67.65
7135892.899	67.64
7135902.850	67.63
7135912.850	67.60
7135922.851	67.58
7135932.901	67.58
7135942.902	67.57
7135952.902	67.56
7135962.852	67.59
7135972.853	67.59
7135982.853	67.61
7135992.904	67.63
7136002.854	67.66
7136012.855	67.68
7136022.855	67.71
7136032.905	67.74
7136042.906	67.75
7136052.856	67.76
7136062.907	67.77
7136072.857	67.76
7136082.908	67.76
7136092.858	67.74
7136102.908	67.74
7136112.909	67.72
7136122.909	67.71
7136132.910	67.68
7136142.910	67.67
7136152.861	67.65
7136162.911	67.64
7136172.911	67.62
7136182.862	67.61
7136192.862	67.59
7136202.913	67.58
7136212.863	67.57
7136222.914	67.55
7136232.864	67.52
7136242.914	67.52
7136252.865	67.48
7136262.865	67.48
7136272.916	67.46
7136282.916	67.45
7136292.917	67.43
7136302.867	67.42
7136312.867	67.39
7136322.918	67.39
7136332.868	67.36
7136342.869	67.34
7136352.919	67.33
7136362.870	67.33
7136372.870	67.30
7136382.920	67.32
7136392.921	67.32
7136402.871	67.33
7136412.872	67.35
7136422.922	67.38
7136432.873	67.37
7136442.873	67.41
7136452.873	67.45
7136462.874	67.46
7136472.874	67.47
7136482.875	67.49
7136492.875	67.52
7136502.926	67.52
7136512.876	67.52
7136522.926	67.50
7136532.927	67.49
7136542.927	67.49
7136552.878	67.47
7136562.878	67.45
7136572.929	67.44
7136582.879	67.42
7136592.879	67.41
