#1			
float	DNI_THTFin_vdot(1779,4)		
7131062.643	1.1	297.32	0
7131072.643	1	297.31	0
7131082.694	1.1	297.32	0
7131092.644	1.1	297.32	0
7131102.694	1.1	297.32	0
7131112.695	1.1	297.3	0
7131122.645	1.1	297.3	0
7131132.696	1.1	297.31	0
7131142.696	1.1	297.3	0
7131152.647	1.1	297.31	0
7131162.697	1.1	297.3	0
7131172.697	1.1	297.31	0
7131182.698	1.1	297.3	0
7131192.698	1.1	297.3	0
7131202.649	1.1	297.29	0
7131212.699	1.1	297.29	0
7131222.7	1.1	297.3	0
7131232.65	1.1	297.3	0
7131242.65	1	297.29	0
7131252.651	1.1	297.29	0
7131262.651	1.1	297.29	0
7131272.652	1.1	297.28	0
7131282.652	1.1	297.27	0
7131292.703	1.1	297.28	0
7131302.703	1.1	297.28	0
7131312.703	1.1	297.27	0
7131322.704	1.1	297.28	0
7131332.654	1.1	297.29	0
7131342.655	1.1	297.28	0
7131352.655	1.1	297.28	0
7131362.706	1.1	297.29	0
7131372.656	1.1	297.28	0
7131382.656	1.1	297.29	0
7131392.707	1.1	297.29	0
7131402.707	1.1	297.28	0
7131412.658	1.1	297.29	0
7131422.658	1.1	297.27	0
7131432.659	1.1	297.29	0
7131442.709	1.1	297.28	0
7131452.709	1.1	297.31	0
7131462.71	1.1	297.29	0
7131472.66	1.1	297.29	0
7131482.711	1.1	297.29	0
7131492.711	1.1	297.27	0
7131502.712	1.1	297.28	0
7131512.712	1.1	297.28	0
7131522.712	1.1	297.27	0
7131532.663	1.1	297.27	0
7131542.663	1.1	297.26	0
7131552.714	1.1	297.26	0
7131562.664	1.1	297.27	0
7131572.665	1.1	297.26	0
7131582.715	1.1	297.26	0
7131592.665	1.1	297.25	0
7131602.716	1.1	297.27	0
7131612.716	1.1	297.25	0
7131622.667	1.1	297.26	0
7131632.667	1.1	297.24	0
7131642.668	1.1	297.24	0
7131652.718	1.1	297.25	0
7131662.668	1.1	297.25	0
7131672.719	1.1	297.23	0
7131682.719	1.1	297.23	0
7131692.67	1.1	297.22	0
7131702.67	1.1	297.24	0
7131712.671	1.1	297.23	0
7131722.721	1.1	297.22	0
7131732.721	1.1	297.22	0
7131742.722	1.2	297.23	0
7131752.722	1.1	297.24	0
7131762.723	1.1	297.23	0
7131772.723	1.2	297.24	0
7131782.724	1.1	297.23	0
7131792.674	1.1	297.24	0
7131802.674	1	297.24	0
7131812.675	1.1	297.24	0
7131822.675	1.1	297.24	0
7131832.676	1.1	297.23	0
7131842.726	1	297.24	0
7131852.677	1.1	297.23	0
7131862.727	1.1	297.24	0
7131872.727	1.1	297.24	0
7131882.678	1.1	297.24	0
7131892.678	1.1	297.23	0
7131902.679	1.2	297.23	0
7131912.729	1.1	297.23	0
7131922.73	1.1	297.23	0
7131932.73	1.2	297.22	0
7131942.73	1.1	297.22	0
7131952.681	1.1	297.23	0
7131962.731	1.1	297.23	0
7131972.732	1.1	297.22	0
7131982.682	1.2	297.21	0
7131992.733	1.1	297.21	0
7132002.733	1.2	297.22	0
7132012.733	1.1	297.21	0
7132022.734	1.1	297.22	0
7132032.734	1.1	297.22	0
7132042.735	1.1	297.21	0
7132052.735	1.1	297.21	0
7132062.736	1.1	297.22	0
7132072.736	1.2	297.24	0
7132082.686	1.1	297.23	0
7132092.737	1.2	297.22	0
7132102.737	1.1	297.22	0
7132112.738	1.1	297.23	0
7132122.688	1.1	297.23	0
7132132.689	1.1	297.24	0
7132142.739	1.1	297.25	0
7132152.739	1.1	297.23	0
7132162.69	1.2	297.22	0
7132172.74	1.1	297.23	0
7132182.741	1.2	297.23	0
7132192.691	1.2	297.23	0
7132202.692	1.1	297.23	0
7132212.742	1.2	297.22	0
7132222.692	1.2	297.22	0
7132232.693	1.1	297.22	0
7132242.693	1.1	297.22	0
7132252.744	1.1	297.21	0
7132262.694	1.1	297.22	0
7132272.745	1.1	297.21	0
7132282.745	1.1	297.2	0
7132292.745	1.1	297.2	0
7132302.696	1.1	297.21	0
7132312.696	1.2	297.2	0
7132322.747	1.1	297.19	0
7132332.697	1.2	297.2	0
7132342.748	1.2	297.18	0
7132352.748	1.1	297.18	0
7132362.748	1.2	297.18	0
7132372.749	1.1	297.18	0
7132382.699	1.2	297.17	0
7132392.75	1.1	297.17	0
7132402.7	1.1	297.18	0
7132412.751	1.2	297.16	0
7132422.751	1.1	297.18	0
7132432.701	1.1	297.17	0
7132442.752	1.2	297.17	0
7132452.752	1.2	297.19	0
7132462.753	1.1	297.17	0
7132472.703	1.2	297.18	0
7132482.754	1.1	297.19	0
7132492.704	1.2	297.19	0
7132502.754	1.2	297.19	0
7132512.755	1.2	297.19	0
7132522.755	1.2	297.19	0
7132532.756	1.2	297.19	0
7132542.756	1.2	297.18	0
7132552.757	1.2	297.19	0
7132562.707	1.2	297.19	0
7132572.707	1.2	297.18	0
7132582.758	1.1	297.19	0
7132592.708	1.2	297.18	0
7132602.709	1.1	297.17	0
7132612.759	1.1	297.18	0
7132622.76	1.2	297.19	0
7132632.76	1.2	297.18	0
7132642.76	1.2	297.18	0
